"AUTEURSENAUTEURSFUNCTIES","DOCUMENTCODE","DRUK","EMBARGODATUM","ISBN13EAN","ISBNFOLIOBK","JAARVANUITGAVE","MEDIAPRODUCTFAMILY","NAAMVANUITGEVER","NUMMER","OMVANG","ONDERTITEL","PLAATSVANUITGAVE","PRIJS","PRODUCTSTATUS","PRODUCTTEKST","RUBRIEKCODE","RUBRIEKSOMSCHRIJVING","RUBRIEKSOMSCHRIJVING2","RUBRIEKSOMSCHRIJVING3","SAMENVATTINGABSTRACT","SERIENRCQREEKSNR","SERIETITELCQREEKSTITEL","TITEL","VERSCHIJNINGSDATUM","WIJZIGINGSDATUM","WIJZIGINGSSTATUS"
"Engel, Kees","gereed","","","9789462511859","9789462511859","2018","","Paris","","116","","Zutphen","18.35","Final","","820","Recht algemeen","","","Een rechter die een muntje opgooit, een man die meerdere rechters wraakt vanwege hun voorletters, de vraag of een ondiepe kuil in een bos als woning moet worden aangemerkt en een geschil over de waarde van een genuttigd diner. Ook uit dit tweede deel van 33 bijzondere, humoristische en opvallende rechterlijke uitspraken blijkt dat rechtspreken, hoewel een serieuze aangelegenheid, veel amusante en soms zelfs hilarische momenten kan opleveren. Het boek is daarmee een ideaal cadeau voor advocaten, rechters, juridisch medewerkers, rechtenstudenten en andere juridisch geïnteresseerden.","","","Nog 33 bijzondere, humoristische en opvallende rechterlijke uitspraken","10-09-2018","24-12-2020","Gewijzigd"
"Plate CPC, Dirk-Jan","gereed","","","9789462511682","9789462511682","2018","","Paris","","106","Gevolgen en mogelijkheden uitgebreid behandeld","Zutphen","21.56","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Pensioen is een belangrijk onderdeel van het totale arbeidsvoorwaardenpakket. Toch krijgen bij een individueel ontslag of reorganisatie de gevolgen en mogelijkheden voor het pensioen weinig aandacht. Vragen als 'Wat zijn de gevolgen mocht er geen actie worden ondernomen?' en 'Welke voordelen kunnen er worden behaald als er juist wel tot actie wordt overgegaan?' worden in dit boek beantwoord. De antwoorden houden rekening met alle rechtsgebieden en zijn uitvoerig onderbouwd met de bijbehorende wetsartikelen, literatuur en jurisprudentie. Ondersteund met een groot aantal praktijkvoorbeelden bieden de informatie en de besproken oplossingsconstructies een handelingsperspectief voor de ontslagpraktijk. Dirk-Jan Plate CPC is zelfstandig adviseur met veel ervaring op het gebied van reorganisaties bij zowel kleine als grote bedrijven en overheidsinstellingen.","","","Pensioenoplossingen bij ontslag","29-03-2018","24-12-2020","Gewijzigd"
"Roest, O.A.P. van der","gereed","3","","9789462511767","9789462511767","2018","","Paris","","252","Een korte uitleg","Zutphen","33.03","Final","","820","Recht algemeen","","","Recht & Interpretatie is bedoeld als inleidend (leer)boek. Op een toegankelijke wijze kunnen geïnteresseerden kennismaken met het werk van de jurist. Er is aandacht voor onder andere historie, natuurrecht, ethiek, codificatiegeschiedenis en interpretatiemethoden. Ook wordt ingegaan op de motivering en legitimiteit van een juridisch(e) beslissing en advies, de stappen die genomen moeten worden bij de beantwoording van een rechtsvraag en de fasen in een juridisch kwalitatief onderzoek. Elk hoofdstuk wordt afgesloten met enkele praktische of theoretische opdrachten en het boek wordt afgesloten met een formatieve eindtoets. De antwoorden staan achterin het boek.","","","Recht & Interpretatie ","12-06-2018","24-12-2020","Gewijzigd"
"Winkelhorst, R.C.","gereed","","","9789462511729","9789462511729","2018","","Paris","","234","De robotisering van de maatschappij in praktisch, juridisch en maatschappelijk perspectief","Zutphen","50.46","Final","","820","Recht algemeen","","","‘Bloemen houden van mensen, haal ze in huis’ groeide in de jaren zeventig uit tot een razend populaire verkoopslogan van de bloemensector. Voor de robots zag het leven er destijds veel minder florissant uit. Afgeschermd van de mens, deden de eerste Robo sapiens louter zwaar en geestdodend fabriekswerk. Hierin kwam verandering toen eind jaren negentig een van hen de schaaklegende Kasparov versloeg en het robotbrein bestaansrecht werd toegedicht. Inmiddels is de robotisering van de maatschappij in volle gang en valt deze ook de mens ten deel. Dit leidt niet alleen tot nieuwe mogelijkheden, maar werpt evenzoveel vragen en maatschappelijke uitdagingen op. Niet in de laatste plaats door een mondiaal gebrek aan adequate normen en een definitie van de robot. Of robots op dezelfde wijze als bloemen, of misschien wel daadwerkelijk, van mensen zullen gaan houden is uiteraard nog maar de vraag. Sommigen vrezen dat de huidige invasie leidt tot de totale omverwerping van onze samenleving. Het in huis halen van het boek Robot-is-me? is gelukkig relatief veilig en brengt u dichter bij een antwoord.","","","Robot-is-me?","06-07-2018","24-12-2020","Gewijzigd"
"Braat, Bram","gereed","","","9789462511774","9789462511774","2018","","Paris","","299","Towards an Optimum of Overall Competition Law Enforcement?","Zutphen","65.14","Final","","828","Internationaal (publiek)recht","","","The difficulty with competition law is that so many aspects can influence its overall effectiveness. Sanctions in criminal law or the emergence of private enforcement, for example, may influence leniency policy. In turn, public enforcement, whilst protecting information, could also influence the effectiveness of antitrust damages actions. The author makes a comparison with the board game “Pisa”. In this game, small figures have to be placed at different levels of the Leaning Tower of Pisa, with the aim of keeping the tower stable. When there are too many dolls on one side and not enough on the other, the balance is lost and the figures topple off the tower. Competition law enforcement is a leaning tower of Pisa. If the structure of a competition law policy is not sufficiently balanced between public and private enforcement, it will function less effectively than it could. With an upcoming private enforcement it is important to strike the right balance so that claimants are able to effectively claim damages on the one hand, but cartel infringers remain interested in applying for leniency on the other. The author analyzes the chosen systems of the EU, Germany and the Netherlands and uses the US system as inspiration. The author also discusses potential solutions for diverging approaches.","","","The Relation Between Leniency and Private Enforcement","03-07-2018","24-12-2020","Gewijzigd"
"Lamers, A.H. ","gereed","","","9789462511743","9789462511743","2018","","Paris","","62","","Zutphen","19.72","Final","","822","Privaatrecht","","","Het leerstuk van de samenhangende rechtsverhoudingen in het overeenkomstenrecht is wellicht het beste voorbeeld van de omstandigheid dat de grenzen van het civil law contractenrecht onder druk staan. De verbonden overeenkomsten zijn overeenkomsten die een zodanige invloed op elkaar uitoefenen dat een wijziging binnen de ene overeenkomst niet zonder gevolgen kan blijven voor een ‘verbonden’ andere overeenkomst. Deze osmotische werking tussen twee of meerdere overeenkomsten verhoudt zich slecht met de heersende doctrine waarin de beslotenheid van de overeenkomst vooropstaat. Dat wil zeggen dat alleen partijen bij een overeenkomst directe invloed kunnen uitoefenen op de rechtssfeer van die overeenkomst en dat derden die niet direct als partij betrokken zijn bij die overeenkomst, geen invloed kunnen uitoefenen op de rechtsgevolgen van die overeenkomst. In dit boek wordt de ontwikkeling van het leerstuk verbonden overeenkomsten in de rechtspraak geschetst. Daarbij worden enerzijds kritische noten geplaatst en anderzijds openingen onderzocht die wellicht als handvat kunnen dienen in een toekomstig codificatieproces.","24","NTHR-Reeks","Verbonden overeenkomsten in het handelsrecht","14-05-2018","24-12-2020","Gewijzigd"
"Roest (red.), O.A.P. van der|Azimi, A.|Dam, R.J. van|Harmsen, M.","gereed","","","9789462511811","9789462511811","2018","","Paris","","247","","Zutphen","23.39","Final","","823","Staats- en bestuursrecht","","","Dit werkboek bevat formatieve toetsen (casus, uitspraken en vragen) en checklists. De vragen hebben betrekking op meerdere belangrijke onderwerpen van het algemeen bestuursrecht. Aan de orde komen de kernbegrippen van de Awb (bestuursorganen, belanghebbenden en besluiten), toekenning van bestuursbevoegdheid (attributie, delegatie en mandaat), normen voor het handelen van bestuursorganen (algemeen verbindende voorschriften en algemene beginselen van behoorlijk bestuur), handhaving (last onder bestuursdwang, last onder dwangsom en bestuurlijke boete) en gedogen, schadevergoeding bij onrechtmatige besluiten, nadeelcompensatie, overheid en privaatrecht alsmede rechtsbescherming (bezwaar, administratief beroep, beroep, hoger beroep en voorlopige voorziening). Het werkboek biedt voor studenten die zich voorbereiden op het tentamen algemeen bestuursrecht een goede ondersteuning. In het boek zijn aan het einde van elk hoofdstuk op docerende wijze antwoorden opgenomen. Het werkboek is geschikt voor het hoger juridisch onderwijs met collegecycli van verschillende omvang en intensiteit. Ook voor de praktijkjurist is het werkboek van belang. De aansprekende formatieve toetsen zijn aan de praktijk ontleend. De checklists bieden een handzaam hulpmiddel bij de voorbereiding op het tentamen algemeen bestuursrecht alsmede voor wie in de bestuursrechtelijke praktijk werkzaam is. Het boek is een resultaat van jarenlange ervaring van de auteurs in de praktijk en/of het onderwijs.","","","Werkboek Algemeen bestuursrecht","13-06-2018","24-12-2020","Gewijzigd"
"Drongelen, J. van (red.)","gereed","","","9789462511750","9789462511750","2018","","Paris","","277","Parlementaire geschiedenis arbeidsrecht deel 7","Zutphen","45.87","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Misbruik van de bereidheid van arbeidskrachten, bijvoorbeeld uit andere lidstaten van de Europese Unie (EU), Europese Economische Ruimte (EER) en Zwitserland, om voor een lager loon te werken dan het toepasselijk minimumloon, leidt tot oneerlijke concurrentie tussen bedrijven en aan werknemerskant tot verdringing, onderbetaling en soms zelfs uitbuiting. Als gevolg van het verdringingseffect staat het Nederlandse sociale zekerheidsstelsel onder druk. Om aan deze ongewenste situatie(s) zowel aan de kant van de bedrijven als aan werknemerskant iets te kunnen doen, is de Wet aanpak schijnconstructies tot stand gebracht. Deze wet behandelt oneerlijke concurrentie tussen bedrijven, het versterken van de rechtspositie van werknemers en een beloning voor werknemers. In dit boek wordt de parlementaire geschiedenis van die wet behandeld. Een wijziging in een wettelijk voorschrift wordt voorafgegaan door de oude (te wijzigen) wettekst. Het wijzigingsonderdeel sluit af met het wettelijk voorschrift waarin de wijzigingen zijn aangebracht. Daarbij is de volgorde aangehouden van de parlementaire behandeling. In de marge is aangegeven welk onderdeel van de parlementaire behandeling aan de orde is.","7","Parlementaire geschiedenis arbeidsrecht","Wet aanpak schijnconstructies","17-05-2018","24-12-2020","Gewijzigd"
"Drongelen, J. van (red.)","gereed","","","9789462511644","9789462511644","2018","","Paris","","151","Parlementaire geschiedenis arbeidsrecht deel 6","Zutphen","39.91","Final","","825","Arbeids- en sociale zekerheidsrecht","","","De Wet minimumloon en minimumvakantiebijslag (Wml) is in 1968 tot stand gebracht als een zuiver civielrechtelijke wet met als oogmerk de werknemer een loon te garanderen als aanvaardbare tegenprestatie voor de verrichte arbeid. In 2007 is de bestuurlijke boete als handhavingsinstrument van de overheid ingevoerd als uitvloeisel van een veranderde invulling van de betekenis van de Wml. Met het openstellen van de grenzen in mei 2007 voor de zogenoemde MOE-landers is het zwaartepunt verschoven naar oneerlijke concurrentie, wat kan worden gezien als een verschuiving van de werknemers naar de onderneming. De bestuursrechtelijke handhaving van de wet blijkt een nachtmerrie te zijn voor de toezichthoudende instantie, de Arbeidsinspectie (thans: Inspectie SZW). De handhavingsproblemen zijn telkens opgelost met aanpassing van de wetgeving. In dit boekje wordt de parlementaire geschiedenis van een van deze wijzigingswetten behandeld. Een wijziging in een wettelijk voorschrift wordt voorafgegaan door de oude (te wijzigen) wettekst. Het wijzigingsonderdeel sluit af met het wettelijk voorschrift waarin de wijzigingen zijn aangebracht. Daarbij is de volgorde aangehouden van de parlementaire behandeling. In de marge is aangegeven welk onderdeel van de parlementaire behandeling aan de orde is.","6","Parlementaire geschiedenis arbeidsrecht","Wijziging Wet minimumloon en minimumvakantiebijslag in verband met de verlaging van de leeftijd waarop men recht heeft op het volwassenminimumloon, in verband met stukloon en meerwerk en enige andere wijzigingen","17-05-2018","24-12-2020","Gewijzigd"
"Rank, W.AK.","gereed","","","9789462511910","9789462511910","2018","","Paris","","187","","Zutphen","34.86","Final","","820","Recht algemeen","","","De eerste druk van Vermogensscheiding in de financiële praktijk verscheen in 2008, als deel 56 van de toenmalige Bankjuridische Reeks van NIBESVV. In de afgelopen tien jaar hebben zich op het terrein van de vermogensscheiding de nodige ontwikkelingen voorgedaan. Deze betreffen in het bijzonder de vermogensscheiding bij (bank) beleggingsondernemingen en beleggingsinstellingen. In deze tweede druk wordt uitvoerig op deze nieuwe ontwikkelingen ingegaan. In de bundel worden eerst de regels inzake vermogensscheiding bij beleggingsondernemingen en banken op een rijtje gezet en geanalyseerd. Dit geschiedt vanuit verschillende invalshoeken. Zo wordt de vermogensscheiding beschouwd vanuit het perspectief van achtereenvolgens de belegger, de bank, de CSD en de uitgevende instelling en vanuit een internationaal perspectief. Daarbij wordt ruimschoots aandacht besteed aan MiFID II, EMIR, de CSDverordening en natuurlijk de Wge. Vervolgens wordt de vermogensscheiding bij beleggingsinstellingen besproken. In dat verband komen de AIFMD en UCITS V aan de orde. De bundel bestaat uit bijdragen van verschillende auteurs die werkzaam zijn binnen het financiële recht en die specialist zijn op het gebied van de vermogensscheiding. Iedere auteur geeft vanuit zijn eigen achtergrond invulling aan het onderwerp van de vermogensscheiding.","14","Financieel Juridische Reeks","Vermogensscheiding in de financiële praktijk","31-10-2018","24-12-2020","Gewijzigd"
"Holthinrichs, D.B.","gereed","","","9789462511934","9789462511934","2018","","Paris","","399","Een onderzoek naar de reikwijdte van de vrije advocaatkeuze in rechtsbijstandverzekeringen","Zutphen","78.90","Final","","822","Privaatrecht","","","In dit proefschrift gaat de auteur in op de achtergrond en strekking van het recht van vrije advocaatkeuze, dat in de Nederlandse wet is opgenomen in artikel 4:67 lid 1 onder a Wft. Dit recht is gebaseerd op Europese Richtlijn 87/344/ EEG. Op 7 november 2013 heeft het Hof van Justitie van de EU inzake het arrest van verzekerde Sneller tegen DAS Nederlandse Rechtsbijstand Verzekeringsmaatschappij een ruime uitleg gegeven aan het recht van verzekerden om onder een rechtsbijstandverzekering hun rechtshulpverlener te kiezen wanneer sprake is van een gerechtelijke of administratieve procedure. De auteur gaat in op de achtergrond van het recht van vrije advocaatkeuze en de plaats die het inneemt in een pakket aan maatregelen dat de Europese regelgever heeft geïntroduceerd om belangenconflicten tussen verzekeraars en verzekerden te voorkomen en bestrijden. Tevens beschrijft hij de huidige status quo die in Nederland is ontstaan sinds het baanbrekende arrest van het Hof van Justitie van de EU van 2013. Dit proefschrift verschaft daarmee inzicht in de achtergrond van het recht van vrije advocaatkeuze maar biedt tevens aanknopingspunten ten behoeve van het vinden van een nieuwe balans tussen een betaalbare rechtsbijstandverzekering en een redelijke mate van keuzevrijheid bij het kiezen van een rechtshulpverlener.","15","ACIS-Serie","Vrijheid verzekerd?","26-11-2018","24-12-2020","Gewijzigd"
"Vliet, L.P.W. van|Loth, M.A.","gereed","","","9789462511927","9789462511927","2018","","Paris","","154","Hoever reikt het privaatrecht in het verleden?","Zutphen","37.16","Final","","822","Privaatrecht","","","Hoe gaan we om met historisch onrecht? Welke mogelijkheden en beperkingen biedt het recht? Of het nu gaat om het slavernijverleden, het postkoloniale verleden, of het misbruik in de Rooms-Katholieke Kerk, telkens rijst de vraag of onrecht in een min of meer ver verleden grond kan zijn voor aansprakelijkheid in het heden. Wat gestolen kunst betreft rijst de vraag of de eigenaar of zijn rechtsopvolgers eeuwig moeten kunnen revindiceren of dat aan die mogelijkheid door verjaring een einde moet worden gemaakt. In het eerste preadvies worden twee vragen onderzocht, namelijk de vraag naar het ‘wanneer’ van aansprakelijkheid (de vereisten), en die naar het ‘waarom’ (de legitimaties). Bron van inspiratie vormde de discussie over de ‘slavery reparations suits’ in de Verenigde Staten. De bevindingen leveren een beeld op van de variabelen van een succesvolle vordering op grond van historisch onrecht in onze rechtsorde. Het tweede preadvies laat zien dat de vraag of een verjaringstermijn moet lopen tegen een eigenaar die niet kan revindiceren zeer verschillend wordt beantwoord in de onderzochte rechtssystemen. De nadruk van het onderzoek ligt op de ratio van verjaring en de voor- en nadelen van het ontbreken van verjaringstermijnen voor gestolen kunst. Het is frappant dat bij het onderwerp ‘verjaring en gestolen kunst’ met goed verdedigbare argumenten tegengestelde standpunten te verdedigen zijn.","2018","Preadviezen Vereniging voor Burgerlijk Recht","Recht over tijd","07-12-2018","24-12-2020","Gewijzigd"
"Kluiver, H.J. de (red.)","gereed","","","9789462511958","9789462511958","2018","","Paris","","371","Over heden, toekomst en verleden","Zutphen","59.63","Final","","820","Recht algemeen","","","Ter gelegenheid van het 100-jarig bestaan van de Vereeniging ‘Handelsrecht’ is door negentien auteurs de balans opgemaakt van de stand van zaken op acht kernterreinen van het handelsrecht: ondernemingsrecht, faillissementsrecht, vervoerrecht, documentair krediet, betalingsverkeersrecht, verzekeringsrecht, intellectuele eigendom en mededingingsrecht. Behalve een kritische beschouwing van het recht zoals dat nu geldt, en de ontwikkeling daarvan vanuit het verleden, wordt daarbij ook uitdrukkelijk de blik gericht op de toekomst. Dit bijzondere jubileum is immers niet bedoeld om heden of verleden te koesteren, maar vooral om lessen te trekken en te anticiperen op wat de toekomst gaat brengen en welke aanpassingen van wetgeving dat zal gaan vereisen. Aldus wordt beoogd nu alvast een bijdrage te leveren aan vernieuwing zodat ook in de komende eeuw de wetgeving recht zal doen aan de, steeds veranderende, maatschappelijke omstandigheden en technologische ontwikkelingen.","2018","Preadviezen Vereeniging Handelsrecht","100 jaar Handelsrecht","13-12-2018","24-12-2020","Gewijzigd"
"Hamers, J.J.A. (red.)|Schwarz, C.A. (red.)| Zaman, D.F.M.M. (red.)","gereed","","","9789462511941","9789462511941","2018","","Paris","","640","Stichting, vereniging, coöperatie en onderlinge waarborgmaatschappij, civielrechtelijk en fiscaalrechtelijk beschouwd","Zutphen","66.97","Final","","827","Ondernemingsrecht","","","Na het verschijnen van de tweede druk van het Handboek Stichting en Vereniging in 2015 hebben zich interessante ontwikkelingen in wetgeving en jurisprudentie voorgedaan op het terrein van de stichting en de vereniging, inclusief haar bijzondere verschijningsvormen, de coöperatie en de onderlinge waarborgmaatschappij. In deze derde druk worden die ontwikkelingen geplaatst in een uitputtende behandeling van de onderwerpen die voor deze rechtsvormen relevant zijn. Het boek is geschreven met oog voor de praktijk, en richt zich op bestuurders, commissarissen en adviseurs van dit type rechtspersonen. Door de verwijzing naar relevante literatuur en jurisprudentie is het Handboek ook zeer geschikt voor de student die zich in deze rechtsvormen wil verdiepen. In 2018 is tevens een studenteneditie van het Handboek verschenen. Aan de hand van voorbeelden worden alle belangrijke fasen in het leven van de rechtspersoon behandeld: van oprichting tot samenwerking, fusie en splitsing en van omzetting tot ontbinding. Ook wordt uitgebreid ingegaan op de governance structuur, op de machtsverhoudingen binnen de organisatie, op de taken en verantwoordelijkheden van de diverse organen en het naar buiten treden van deze rechtspersonen. Intern en extern toezicht, de verantwoordelijkheden op het terrein van financiële administratie en de aansprakelijkheden van bestuurders, beleidsbepalers en toezichthouders komen daarbij nadrukkelijk aan de orde. Ook aan de fiscale problematiek waarmee deze rechtspersonen worden geconfronteerd, wordt uitgebreid aandacht besteed. Verder wordt uitbundig gekeken naar verwante thema’s, zoals de maatschappelijke onderneming (onderverdeeld in goede doelen, onderwijsinstellingen, zorginstellingen en woningcorporaties), de stichting in fiduciaire verhoudingen, de Stichting Administratiekantoor, de Algemeen Nut Beogende Instelling (ANBI), de sociaal belang behartigende instelling (SBBI) en de Europese stichting en vereniging. Daarnaast is er aandacht voor het Wetsvoorstel Bestuur en Toezicht Rechtspersonen dat, naar verwachting op niet al te lange termijn, zal worden ingevoerd en een nieuwe governance structuur voor de vereniging en stichting behelst.","","","Handboek Stichting en Vereniging - Derde herziene druk","21-11-2018","24-12-2020","Gewijzigd"
"Hattum, W.F. van|Brouwer, C.|Smilde, M.J.|Waldeck, K.J.J.","gereed","","","9789462511972","9789462511972","2019","","Paris","","125","Bijdragen aan en naar aanleiding van het Symposium Levenslang, 6 april 2018 te Groningen","Zutphen","23.39","Final","","824","Strafrecht en strafprocesrecht","","","Sinds 1982 zijn in Nederland 38 verdachten tot een levenslange gevangenisstraf veroordeeld. 28 van hen zitten deze straf sinds 2000 uit. Hun aantal is veel groter dan voorheen. Ten opzichte van het gemiddelde aantal opleggingen in de gehele vorige eeuw is zelfs sprake van een verviervoudiging. Ook de duur van de levenslange gevangenisstraf is gestegen. Niet doordat de veroordeelden gemiddeld langer leven, maar omdat sedert omstreeks 2004 de regering het standpunt innam dat een levenslange gevangenisstraf ook werkelijk tot de dood diende te duren en niet, zoals vroeger, tot zolang dat uit oogpunt van veiligheid noodzakelijk was met een minimum van 10 of 15 jaar. Deze beide ontwikkelingen (en rekening houdend met overlijden en overname van vonnissen uit het buitenland) brengen de teller van het aantal levenslanggestraften in Nederlandse penitentiaire inrichtingen op 36. Daarnaast zijn op dit moment 10 verdachten in afwachting van het definitieve oordeel in hun strafzaak. Als hun straffen onherroepelijk worden, stijgt het aantal levenslanggestraften naar het ongekend hoge aantal van 46. De gemiddelde leeftijd van de huidige levenslanggestraften is 52 jaar. Hun straf kan dus nog lang duren. Wat is hun perspectief, wat zegt het Europees Hof hierover, wat is humaan – ook in relatie tot wat humaan is voor slachtoffers en nabestaanden –, welke zorg wordt de levenslanggestrafte geboden en is dat voldoende? Deze bundel met bijdragen aan het op 6 april 2018 aan de Rijksuniversiteit Groningen gehouden Symposium Levenslang probeert op deze vragen antwoord te geven.","","","Levenslang","22-01-2018","24-12-2020","Gewijzigd"
"Dijk, A.A. van|Lindenberg, K.","gereed","","","9789462510951","9789462510951","2016","","Paris","","729","Een analyse van Titel XIV, Tweede Boek, Wetboek van Strafrecht met het oog op samenhang, complexiteit en normstelling","Zutphen","93.12","Final","","824","Strafrecht en strafprocesrecht","","","De zedendelicten zoals omschreven in Titel XIV, Boek 2 van het Wetboek van Strafrecht, zijn geen rustig bezit. Sinds 1886 – en met name de laatste vijfentwintig jaar – is veel aan de zedentitel gesleuteld en toegevoegd. Diverse malen is daarbij gesproken over algehele herziening, maar uiteindelijk heeft die nooit plaatsgevonden. De basisstructuur is sinds 1886 gelijk gebleven. Ondertussen is onze maatschappij in technologisch opzicht sterk veranderd – gedacht kan worden aan de komst van de smartphone en de webcam – wat onder meer zijn uitwerking heeft op de wijze waarop mensen zich seksueel kunnen uiten en seksueel kunnen worden benaderd. Het is tegen deze achtergrond dat in deze studie wordt onderzocht of de zedentitel grondig moet worden herzien. Ter beantwoording van deze vraag worden veel belangrijke strafbaarstellingen zowel zelfstandig als in relatie tot elkaar geanalyseerd (zoals, kort gezegd, de delicten inzake kinderpornografie, het plegen van ontucht, seksueel corrumperen, grooming, aanranding, verkrachting en schennis van de eerbaarheid), mede aan de hand van jurisprudentie en internationale verplichtingen. Hoewel het onderzoek is verricht met het oog op de eventuele noodzaak voor legislatieve wijzigingen, kan het daardoor ook van waarde zijn voor de wetenschap en de rechtspraktijk.","","","Herziening van de zedendelicten?","18-03-2016","24-12-2020","Gewijzigd"
"Broeke, C. van den (red.)| Overbeeke, A.J. (red.)|Ploeg, T.J. van der (red.)|Schyff, G. van der (red.)","gereed","","","9789462511965","9789462511965","2019","","Paris","","224","Bundel ter gelegenheid van het tienjarig bestaan van het NTKR (Tijdschrift voor Recht en Religie)","Zutphen","33.03","Final","","820","Recht algemeen","","","Deze bundel ter gelegenheid van het tienjarig bestaan van het NTKR, Tijdschrift voor Recht en Religie, kent twee delen. I: de scheiding van ‘kerk en staat’ en de gevolgen voor het recht van religieuze organisaties, en II: de vrijheid van godsdienst vanuit religieus perspectief. Niet alleen de visie van westerse juristen, maar ook visies vanuit verschillende godsdiensten komen aan bod. Aan de orde komen in deel I: ‘Verbondenheid van Kerk en Staat in het vroegmoderne regalisme’, ‘De gevaarlijke verleiding van de staatskerk’, ‘Overheidsfinanciering voor geloofsgemeenschappen in de Straatsburgse jurisprudentie’, ‘De relatie tussen religie en staat in de islam’, ‘Wat God verbonden heeft… Het spanningsveld van de rooms-katholieke echtscheiding in de Nederlandse samenleving anno 2018’, “Hun eigen statuut”: kerkelijk primaat of statelijk privaat?,  ‘De relatie tussen de vrijheid van godsdienst voor geloofsgemeenschappen op organisatorisch vlak en de vrijheid van vereniging’ en ‘Gelijke behandeling en personeelsbeleid binnen kerkelijke organisaties: is artikel 3 Awgb over zijn juridische houdbaarheidsdatum?’ In deel II komen visies op de vrijheid van godsdienst aan de orde vanuit verschillende godsdiensten: ‘Vrijheid van godsdienst binnen de kerk?’ ‘Waar is de uitgang? Godsdienstvrijheid, het recht op uittreding, geloofsafval en het apostasieverbod in joodse, christelijke en islamitische geloofsgemeenschappen’, ‘Een licht voor de naties. Vrijheid van godsdienst voor de vreemdeling, de afvallige en als fundament voor staatsinrichting’, “Er is geen dwang in de godsdienst.” (9:129). Het recht op godsdienstvrijheid en burgerlijke vrijheden in de islam’ en ‘Godsdienstvrijheid en meervoudige religieuze betrokkenheid: naar een intercultureel perspectief’.","","","Perspectieven op de godsdienstvrijheid en de verhouding tussen staat en religie","07-02-2019","24-12-2020","Gewijzigd"
"Drongelen, J. van|Hofsteenge| J.A.","gereed","5","","9789462511989","9789462511989","2019","","Paris","","123","De Arbowet geschetst","Zutphen","36.24","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Wat zijn de belangrijkste arboverplichtingen van werkgever en werknemers? Aan welke eisen moet de arbocatalogus voldoen? Mag de Inspectie SZW zomaar mijn bedrijf binnenstappen? De Arbowet geschetst biedt u een makkelijke toegang tot de Arbeidsomstandighedenwet (Arbowet). In de ondernemingsraad, op de werkvloer of bij het opstellen van de arbocatalogus: door de compacte en overzichtelijke weergave van de wet heeft u in elke situatie snel de juiste tekst met een heldere toelichting bij de hand.","5","Arbeidsomstandighedenrecht","Arbeidsomstandighedenrecht deel 5","07-02-2019","24-12-2020","Gewijzigd"
"Zoest, M.R.C. van","gereed","1","","9789462512023","9789462512023","2019","","Paris","","54","Een praktische handleiding voor iedereen die te maken heeft met 403-verklaringen","Zutphen","15.14","Final","","827","Ondernemingsrecht","","","Deze uitgave vertaalt de actuele wetgeving, rechtspraak en rechtsliteratuur over de groepsvrijstelling naar de praktijk. Naast achtergronden en uitleg bevat deze uitgave daarom vooral handvatten en voorbeelden die concreet kunnen worden toegepast door de juridische praktijkbeoefenaar. Alle belangrijke deelonderwerpen komen voorbij, zoals de inhoud van de vrijstelling, de voorwaarden voor de vrijstelling en natuurlijk de perikelen bij het intrekken van de 403-verklaring en het beëindigen van de overblijvende aansprakelijkheid. De lezer vindt in deze uitgave diverse modellen die in dat kader kunnen worden gebruikt. Deze uitgave is primair geschreven als handleiding voor de juridische praktijkbeoefenaar die te maken heeft met de groepsvrijstelling van artikel 2:403 BW en de daarmee verband houdende 403-verklaringen.","","","De groepsvrijstelling in de praktijk","28-05-2019","24-12-2020","Gewijzigd"
